Pattern ID;Pattern Name;Description;Alias;Sub category;Category;Motivation;Solution;Consequences;Examples;Related Patterns;Resources;Link;Type;Comments
;Reflection pattern [1][2][3];Through reflecting the  LLMs can produce improved results by critically analyzing their own outputs or the output of other LLMs.;;;Main Categories;This pattern is motivated by the need for agents not only to act but also to evaluate and refine their own behavior across time and pipeline.;Utilize diffferent mechanisms and assessment methods (other agents, humans, or even the agent itself) to assess agent (its) shortcomings.;;;;noauthor_agentic_2024[1], horne_agentic_nodate[2], noauthor_4_nodate[3];;Grey and White;
;Tool Use Pattern [1][2][3][4];This pattern in agentic AI systems enhances the capabilities of LLMs by enabling them to interact dynamically with external tools and resources.;;;Main Categories;Agentic systems lack direct access to the external world. Their native capabilities are bounded by the training data and internal token-based reasoning. To be effective in real-world applications, they must interact with external tools, APIs, and services.;With tool use comes the embedding of a mechanism that allows the agents to invoke external tools or services, as part of their reasoning and action cycle.;;;;noauthor_4_nodate[1], horne_agentic_nodate[2], noauthor_agentic_2024-1[3],zhou_taxonomy_2024[4];;Grey and White;
;Planning Pattern [1][2];This main category of pattern enables LLMs to break down large tasks into subtasks. An LLM using the planning pattern will organize the sub-goals into a logical sequence. Depending on the complexity, the agent may plan actions in a linear order or create branches for parallel execution.;;;Main Categories;Agentic systems need to be able to manage long-horizon, multi-step tasks that exceed the capacity of one-shot reasoning or short-context memory.;The pattern category proposes that an agent should explicitly construct, maintain, and execute a plan that decomposes a complex goal into manageable sub-goals and actions. Instead of tackling the entire task in one monolithic reasoning pass, the agent operates through a stepwise roadmap.;;;;noauthor_4_nodate[1], horne_agentic_nodate[2];;Grey and White;
;Multi-Agent Collaboration Pattern [1][2][3]; The patterns under this category focus on task delegation, which involves assigning different agents to different tasks that can be created by prompting a single LLM (or multiple LLMs) to handle distinct responsibilities.;;;Main Categories;Agents need to be able to solve problems that are too complex, specialized, or large-scale for a single agent. While individual agents can plan, reflect, and use tools, their reasoning is bounded by their context, perspective, and capabilities.;This pattern category (which is very common in modern applications) proposes structuring agentic systems as teams of interacting agents, each with defined roles, goals, and communication protocols. Instead of relying on one super-agent, the system distributes information across a cooperative and collaborative network.;;;;noauthor_4_nodate[1], horne_agentic_nodate[2];;Grey and White;
P1;Single Agent Pattern;This pattern proposes a single agent system. One agent with a host of tools and connected to an LLM. The agent then takes in a query and makes decisions on what tool to call using the LLM for its reasoning process.;;;Architecture Pattern ;Automatization of a simple workflow, that is easy to also debug constitutes a good start for a prototyping agentic use case. ;Centralizing control in a single agent with a general purpose. It interacts with various tools directly. All decisions and roles are focused under one agent: tool selection and task execution. ;;;;noauthor_multi_nodate;;Grey;
P2;Sequential Pattern[1];This pattern is ideal in scenarios where the task can be decomposed into a well-defined sequence of subtasks, some of which can be reliably handled by LLMs. The main goal here is to retain the system�s ability to produce reliable and/or deterministic outcomes despite the usage of LLMs.;Control Flow Pattern [2], Prompt-Chaining Pattern [3], Pipeline Processor Pattern [4];;Workflow Pattern;The need for a simple agentic linear workflow for straightforward tasks with no complex architecture development, where each agent is dependent on the previous' output.;This sequential framework that proposes structuring the agent�s cognition and actions into a linear pipeline of well-defined stages, where the output of one stage directly informs the input of the next.;;;;mongodb_here_2025[1][2], grey_anthropic[3], mark_lane_2025[4];;Grey;
P3;Single-Path Planning Pattern[1][2][3][4];In this strategy, the  final task is decomposed into several intermediate  steps. These steps are connected in a cascading manner, with each step leading to only one subsequent step. LLMs follow these steps to achieve the final  goal.;Sequential Pattern [5], Control Flow Pattern [6];;Planning Pattern [1][2][3][4][7], Workflow Pattern [5];Sometimes an agent might be considered a black box for the users, while they might actually care about the process of how an agent achieves users' goals. Users may assign abstract tasks which may be challenging for the agents to handle, while users and other interacting tools/agents might expect coherent responses or guidelines for achieving certain goals. Lastly, uncertain decisions may affect the efficiency of an agent resulting in reduced user satisfaction. ;After receiving and comprehending users' goals the signle path plan generator can coordinate the creation of a plan for other agents or tools and prioritise the tasks to reach goal. Requires inference and reasoning of whether intermediate steps are actionable and optimal.  The result is a inear direct plan.;;;;wang_survey_2024[1], liu_agent_2024[2], zhou_taxonomy_2024 [3], mongodb_here_2025[5][6],  lu_towards_2024 [4], horne_agentic_nodate[7];;White;Category for 6 is missing.
P4;Multi-Path Planning Pattern[1][2][3][4];In this strategy, the reasoning steps for generating the final plans are  organized into a tree-like structure. Each intermediate step may have multiple subsequent steps. This  approach is analogous to human thinking, as individuals may have multiple choices at each reasoning  step.;Router Pattern [5];;Planning Pattern [1][2][3][4][6], Workflow Pattern [5];The question is how could an agent generate high quality coherent and efficient solutions considerimg inclusiveness and diversity? Sometimes the users might assign highly abstract tasks (ambiguous for the agent), but the users and other tools - agents will expect coherent responses or guidelines for achieving certain goals. Certain goals require users' preferences for providing customised solutions and lastly for particular tasks, agents may oversimplify the reasoning process - hence their solutions will not satisfy users' needs .;This framework creates multiple choices for each step, which includes the foundation model to tease out the eligible and actionable activities for each choice in the previous step. The users' preferences might also influence the intermediate steps leading to different plans .;;;;wang_survey_2024[1], liu_agent_2024[2], zhou_taxonomy_2024 [3], ,  lu_towards_2024 [4] mongodb_here_2025[5], horne_agentic_nodate[7];;White;6 is extra in category. 7 is extra in references
P5;External Pattern[1] ;With external tools planning, the agent�s capabilities are extended beyond its inherent functions by allowing seamless interaction with external data sources and services (for example APIs). Moreover, external models utlize cutting edge algorithms and are employed for specific tasks that demand specialized computational expertise.;External Planner Pattern [2];;Tool Use Pattern [1], Planning Pattern [2];Agentic systems need for agents to go beyond their inherent limitations and interact with the world in a reliable, scalable, and specialized manner. While language models excel at reasoning and generating text, they lack access to real-time data, domain-specific expertise, and specialized computational capabilities.;The agent can extend its core capabilities by integrating external tools and models through APIs, instead of relying solely on its internal reasoning so in that way, the agent is able to process more demanding tasks that require external tools.;;;;wang_survey_2024 [1], zhou_taxonomy_2024 [2];;White;
P6;Internal Planner Pattern[1];Internal tools, are tools and algorithms developed within the system to optimize performance and provide tailored solutions to operational challenges. They can include proprietary LLMs and specific algorithms designed to handle unique tasks efficiently.;;;Tool Use Pattern [1], Planning Pattern [2];Internal tools are motivated by the need for greater control, efficiency, and specialization within an agent system.;Integration of internally developed tools and models into the agent�s architecture. These can include proprietary LLMs, domain-specific algorithms, or customized optimization modules.;;;;wang_survey_2024 [1], zhou_taxonomy_2024 [2];;White;
